UniqueID,TOWNNAME,STATE,Ecoregion,LATITUDE,LONGITUDE,Area_SqKM,ForestCovr,ForestArea,FIA_Plots,FIA_PltDns,FIA_FPlDns,Trees_FIA,Trees_Wit,WT_TreeDns,WT_FTrDns,WT_Method,WT_Year,WT_QualThr,FIA_QualTh,Min_Thrshd,PwrAnal,ag_decline,canopy_cov,clay,drain_clas,elevation,forest_cov,peak_ag,peak_ag_yr,ph_soil,precip,sand,temp_gdd,ruggedness,ASHS_WT,BASSWD_WT,BEECH_WT,BIRCHS_WT,BLKGUM_WT,CEDARS_WT,CHERRY_WT,CHSNUT_WT,CYPRES_WT,ELMS_WT,FIRS_WT,HEMLCK_WT,HICKRY_WT,HORNBM_WT,MAGNOL_WT,MAPLES_WT,OAKS_WT,PINES_WT,POPLAR_WT,SPRUCE_WT,SYCMOR_WT,TAMRAC_WT,TULIP_WT,WALNUT_WT,OTHER_WT,ASHS_FIA,BASSWD_FIA,BEECH_FIA,BIRCHS_FIA,BLKGUM_FIA,CEDARS_FIA,CHERRY_FIA,CHSNUT_FIA,CYPRES_FIA,ELMS_FIA,FIRS_FIA,HEMLCK_FIA,HICKRY_FIA,HORNBM_FIA,MAGNOL_FIA,MAPLES_FIA,OAKS_FIA,PINES_FIA,POPLAR_FIA,SPRUCE_FIA,SYCMOR_FIA,TAMRAC_FIA,TULIP_FIA,WALNUT_FIA,OTHER_FIA,ASHS_CH,BASSWD_CH,BEECH_CH,BIRCHS_CH,BLKGUM_CH,CEDARS_CH,CHERRY_CH,CHSNUT_CH,CYPRES_CH,ELMS_CH,FIRS_CH,HEMLCK_CH,HICKRY_CH,HORNBM_CH,MAGNOL_CH,MAPLES_CH,OAKS_CH,PINES_CH,POPLAR_CH,SPRUCE_CH,SYCMOR_CH,TAMRAC_CH,TULIP_CH,WALNUT_CH,OTHER_CH,SorDist,EucDist,Shan_wt,Shan_fia,Shan_dif,Simp_wt,Simp_fia,Simp_dif,tempdiff,tempdiff_i,N_khy_1850_i,N_khy_2000_i,N_to_1984_i,N_to_2000_i,N_khy_1850,N_khy_2000,N_to_1984,N_to_2000,envPCA1,envPCA2
14,Brewer,ME,LAUREN,44.78,-68.72,198.3159452,0.706718464,140.1535401,3,0.015127377,0.021405096,101,63,0.31767491,0.449507019,deeds,1798,0.9,0.85,0.85,N,-0.0017166,60.8254,11.9701,moderately well drained,63.8204,0.706718,0.168229,1880,5.37141,104.605,49.2628,2955.39,41.7008,0.095238,0,0.047619,0.126984,0,0.047619,0,0,0,0,0.079365,0.238095,0,0,0,0.031746,0.063492,0.142857,0.079365,0.047619,0,0,0,0,0,0.01754386,0,0.01754386,0.081494733,0,0.124031008,0,0,0,0,0.055853707,0.066095471,0,0.210526316,0,0.135413071,0.026090868,0.24831309,0.008547009,0.008547009,0,0,0,0,0,-0.07769414,0,-0.03007514,-0.045489267,0,0.076412008,0,0,0,0,-0.023511293,-0.171999529,0,0.210526316,0,0.103667071,-0.037401132,0.10545609,-0.070817991,-0.039071991,0,0,0,0,0,0.496061233,0.345131007,9.275127,7.901052,-1.37407456,7.890672,6.440263,-1.450408791,2.721093401,2.725504006,2.922988764,7.411864395,552.8815043,668.0992739,2.268588,6.283577,462.70018,562.483117,-0.09259516,-0.412352322
15,WESTMORE,VT,ADIRON,44.7617,-72.0167,98.65967211,0.853274372,84.1837698,4,0.040543415,0.047515097,94,120,1.216302441,1.425452914,lotting/PLS section,1800,0.95,0.9,0.9,N,-0.00253878,73.0186,7.30797,well drained,563.145,0.853274,0.45349,1880,5.30429,121.907,57.1481,2339.46,125.271,0.025,0,0.416667,0.166667,0,0,0,0,0,0,0.075,0.008333,0,0,0,0.091667,0,0,0,0.2,0,0,0,0,0.016667,0,0,0.013888889,0.270238095,0,0,0,0,0,0,0.103174603,0,0,0.013888889,0,0.557142857,0,0,0,0.041666667,0,0,0,0,0,-0.025,0,-0.402778111,0.103571095,0,0,0,0,0,0,0.028174603,-0.008333,0,0.013888889,0,0.465475857,0,0,0,-0.158333333,0,0,0,0,-0.016667,0.611110639,0.645486897,4.947916,3.206064,-1.741851521,3.900318,2.523954,-1.3763639,2.349601515,2.433516404,4.362140688,9.928528919,751.4287614,902.3950082,4.710369,10.36256,788.209183,946.455609,-0.067970864,0.350215234
16,Stratford Old,NH,ADIRON,44.74,-71.58,98.69244021,0.885996991,87.44120502,4,0.040529953,0.045745024,92,251,2.543254574,2.87050024,lotting/PLS section,1779,0.95,0.9,0.9,WT,-0.00267709,72.0387,6.14448,somewhat excessively drained,476.237,0.885997,0.135864,1889.89,4.84672,107.991,69.7828,2455.5,181.027,0.007968,0,0.366534,0.103586,0,0.003984,0,0,0,0,0.023904,0.087649,0,0,0,0.079681,0,0,0,0.326693,0,0,0,0,0,0.128030303,0,0.026041667,0.305871212,0,0,0.011363636,0,0,0,0.078125,0.010416667,0,0,0,0.287215909,0,0.015625,0.058238636,0.07907197,0,0,0,0,0,0.120062303,0,-0.340492333,0.202285212,0,-0.003984,0.011363636,0,0,0,0.054221,-0.077232333,0,0,0,0.207534909,0,0.015625,0.058238636,-0.24762103,0,0,0,0,0,0.669330532,0.536974711,4.631768,6.095861,1.464092693,3.752518,4.776701,1.024182715,2.349601515,2.450119631,4.324572806,9.693169761,741.022747,888.5928938,4.710369,10.36256,788.209183,946.455609,-0.259911431,0.612992385
17,GEORGIA,VT,LAUREN,44.74,-73.1243,103.7039653,0.54184869,56.19185773,2,0.019285666,0.035592345,54,178,1.716424242,3.167718726,lotting/PLS section,1805,0.95,0.85,0.85,WT,-0.00318972,43.9765,10.4878,moderately well drained,123.157,0.541849,0.632399,1870.08,6.15707,94.114,51.4812,3071.81,53.8571,0.039326,0.033708,0.432584,0.044944,0,0.011236,0,0,0,0.044944,0,0.140449,0.005618,0.016854,0,0.174157,0.011236,0.039326,0.005618,0,0,0,0,0,0,0.058823529,0,0.029411765,0.069952305,0,0.029411765,0,0,0,0.029411765,0,0.013513514,0,0.205882353,0,0.306836248,0.108108108,0.148648649,0,0,0,0,0,0,0,0.019497529,-0.033708,-0.403172235,0.025008305,0,0.018175765,0,0,0,-0.015532235,0,-0.126935486,-0.005618,0.189028353,0,0.132679248,0.096872108,0.109322649,-0.005618,0,0,0,0,0,0,0.590583957,0.506071287,6.160306,6.915646,0.755340058,4.064142,5.511126,1.446984362,2.469186459,2.481635579,4.41579482,10.48217679,776.4482612,935.2353249,4.710369,10.36256,788.209183,946.455609,-0.05036397,-0.47792747
18,NEWARK,VT,ADIRON,44.7067,-71.9267,97.20399974,0.916190617,89.05739252,2,0.020575285,0.022457428,61,69,0.709847333,0.774781274,lotting/PLS section,1798,0.95,0.85,0.85,N,-0.00422451,70.7959,7.90059,well drained,490.042,0.916191,0.574263,1880,5.65142,118.536,66.1986,2404.12,81.3308,0,0,0.333333,0.072464,0,0.043478,0,0,0,0,0.043478,0.014493,0,0.014493,0,0.130435,0,0,0,0.333333,0,0,0,0,0.014493,0,0,0,0.071428571,0,0,0.057692308,0,0,0,0.550549451,0,0,0,0,0.114285714,0,0,0.071428571,0,0,0,0,0,0.134615385,0,0,-0.333333,-0.001035429,0,-0.043478,0.057692308,0,0,0,0.507071451,-0.014493,0,-0.014493,0,-0.016149286,0,0,0.071428571,-0.333333,0,0,0,0,0.120122385,0.756314714,0.710475451,5.181149,4.00688,-1.174269615,4.017728,2.875053,-1.142674897,2.349601515,2.420625993,4.420504969,9.920191019,755.6286319,906.585132,4.710369,10.36256,788.209183,946.455609,-0.136213712,0.062255777
19,SUTTON,VT,ADIRON,44.6583,-72.0433,101.7436416,0.828105373,84.25445628,4,0.039314496,0.047475234,104,87,0.85509029,1.032586332,lotting/PLS section,0,0.95,0.9,0.9,N,-0.00421743,64.5332,10.106,somewhat excessively drained,441.908,0.828105,0.575635,1880,5.46732,112.513,38.6378,2451.5,84.314,0.022989,0,0.29885,0.034483,0,0.045977,0,0,0,0.022989,0.091954,0.057471,0,0,0,0.206897,0,0,0,0.206897,0,0.011494,0,0,0,0.050262238,0,0.022727273,0.060406699,0,0.086538462,0.004807692,0,0,0,0.221590909,0,0,0,0,0.444400994,0,0,0.022727273,0.086538462,0,0,0,0,0,0.027273238,0,-0.276122727,0.025923699,0,0.040561462,0.004807692,0,0,-0.022989,0.129636909,-0.057471,0,0,0,0.237503994,0,0,0.022727273,-0.120358538,0,-0.011494,0,0,0,0.488434522,0.414135338,6.547029,5.131561,-1.415468022,5.230821,3.720182,-1.510638601,2.349601515,2.405805158,4.497060121,10.021579,764.2734404,916.9117398,4.710369,10.36256,788.209183,946.455609,0.110696076,0.022328277
20,EAST HAVEN,VT,ADIRON,44.6517,-71.83,97.54137583,0.986611797,96.23547214,4,0.041008238,0.041564715,145,138,1.414784227,1.433982677,lotting/PLS section,1812,0.95,0.9,0.9,N,-0.00333757,78.8483,6.76303,somewhat excessively drained,636.025,0.986612,0.202458,1880,5.10377,129.259,71.147,2279.81,149.293,0,0,0.144928,0.137681,0,0,0,0,0,0,0.173913,0.021739,0,0,0,0.065217,0,0,0,0.42029,0,0,0,0,0.036232,0.005319149,0,0.071946239,0.326749406,0,0,0.081919643,0,0,0,0.058773379,0.056838906,0,0,0,0.284579524,0,0,0,0.113873756,0,0,0,0,0,0.005319149,0,-0.072981761,0.189068406,0,0,0.081919643,0,0,0,-0.115139621,0.035099906,0,0,0,0.219362524,0,0,0,-0.306416244,0,0,0,0,-0.036232,0.530769627,0.453458979,4.967587,5.597195,0.629608816,3.954317,4.559584,0.605267134,2.349601515,2.410956852,4.474923111,9.904606984,759.4684124,910.3118456,4.710369,10.36256,788.209183,946.455609,-0.183623309,0.56351281
22,Bucksport,ME,LAUREN,44.64,-68.75,147.3980151,0.771854295,113.7697909,4,0.027137408,0.035158718,149,73,0.495257687,0.641646604,deeds,1798,0.95,0.9,0.9,N,-0.00403329,68.2791,12.3394,moderately well drained,70.0881,0.771854,0.131426,1880,5.3764,110.147,47.86,2956.82,41.1781,0.013699,0,0.054795,0.219178,0,0.205479,0,0,0,0,0,0.164384,0,0,0,0.013699,0.082192,0.082192,0.082192,0.082192,0,0,0,0,0,0.004464286,0,0.077380952,0.188314592,0,0.025707577,0,0,0,0,0.260315508,0.040865385,0,0,0,0.178909511,0.03667263,0.081749404,0.005813953,0.093992248,0,0.005813953,0,0,0,-0.009234714,0,0.022585952,-0.030863408,0,-0.179771423,0,0,0,0,0.260315508,-0.123518615,0,0,0,0.165210511,-0.04551937,-0.000442596,-0.076378047,0.011800248,0,0.005813953,0,0,0,0.465726707,0.390205212,7.789791,7.596193,-0.193597856,6.771277,6.230384,-0.540893209,2.721093401,2.751559477,2.970245062,7.419452204,557.5701908,672.9843362,4.019159,8.788445,674.138713,809.062728,-0.070068988,-0.414875148
24,Franklin,NY,ADIRON,44.63,-74.06,276.9268563,0.965016549,267.2389993,11,0.03972168,0.041161657,378,426,1.538312339,1.594078713,lotting/PLS section,1822,0.95,0.9,0.9,FIA,-0.00165138,90.3477,3.96434,somewhat excessively drained,542.699,0.965017,0.236853,1880,4.98745,110.365,68.8082,2563.92,89.838,0.007042,0,0.265258,0.15493,0,0.014085,0,0,0,0,0.07277,0.042254,0,0.002347,0,0.061033,0,0.002347,0,0.377934,0,0,0,0,0,0.002840909,0,0.074181427,0.213603644,0,0,0.030341458,0,0,0,0.148837039,0,0,0,0,0.432136765,0,0.027514858,0.051483617,0.019060284,0,0,0,0,0,-0.004201091,0,-0.191076573,0.058673644,0,-0.014085,0.030341458,0,0,0,0.076067039,-0.042254,0,-0.002347,0,0.371103765,0,0.025167858,0.051483617,-0.358873716,0,0,0,0,0,0.61283738,0.564321654,5.08898,5.045798,-0.043182484,4.027968,3.777524,-0.250444126,2.940799337,2.572839156,4.365320751,10.88047702,787.7112576,952.6434751,4.032398,11.113148,770.02913,938.405309,-0.282452174,0.310496562
25,Orland,ME,LAUREN,44.57,-68.69,133.3615302,0.795080142,106.0331043,2,0.014996829,0.018862034,127,156,1.169752625,1.471238638,deeds,1798,0.95,0.85,0.85,WT,-0.00405191,66.6919,10.2576,well drained,76.5708,0.79508,0.129659,1880,5.13547,115.174,59.0195,2940.41,54.2569,0.00641,0.00641,0.275641,0.096154,0,0.00641,0,0,0,0,0.032051,0.153846,0,0.00641,0,0.051282,0.025641,0.121795,0.012821,0.198718,0,0,0,0,0.00641,0.078947368,0,0,0.070175439,0,0,0,0,0,0,0.685588972,0,0,0,0,0.110401003,0,0.007142857,0,0.047744361,0,0,0,0,0,0.072537368,-0.00641,-0.275641,-0.025978561,0,-0.00641,0,0,0,0,0.653537972,-0.153846,0,-0.00641,0,0.059119003,-0.025641,-0.114652143,-0.012821,-0.150973639,0,0,0,0,-0.00641,0.785194236,0.75704319,7.539248,2.913901,-4.625346577,5.955947,2.017315,-3.93863261,2.843512454,2.762942377,2.941492605,7.349086829,553.5655494,668.0501157,2.268588,6.283577,462.70018,562.483117,-0.225775519,-0.279252852
26,EllsworthCty,ME,LAUREN,44.56,-68.49,241.2469202,0.73044711,176.2181156,4,0.016580523,0.022699142,205,278,1.152346317,1.577590358,deeds,1798,0.95,0.85,0.85,WT,-0.00405191,66.4071,12.0082,well drained,74.4493,0.730447,0.129659,1880,5.18235,117.454,54.1778,2931.34,34.1304,0.014388,0,0.320144,0.143885,0,0.043165,0,0,0,0,0.017986,0.169065,0,0,0,0.068345,0.003597,0.017986,0,0.194245,0,0,0,0,0.007194,0.0078125,0,0.154058314,0.050342297,0,0.00625,0,0,0,0,0.235006649,0.136766154,0,0,0,0.211905905,0.0078125,0.05546875,0,0.134576931,0,0,0,0,0,-0.0065755,0,-0.166085686,-0.093542703,0,-0.036915,0,0,0,0,0.217020649,-0.032298846,0,0,0,0.143560905,0.0042155,0.03748275,0,-0.059668069,0,0,0,0,-0.007194,0.402279804,0.333955561,6.313849,6.805224,0.491375937,5.077118,6.007652,0.930533235,2.843512454,2.757157587,2.810946986,7.157477236,537.3333166,649.1902548,2.268588,6.283577,462.70018,562.483117,-0.147455284,-0.3844263
